
-------------- ТАБЛИЦА ЛЕКСЕМ  -------------------- Дата: 17.12.2017 12:51:06 ------------ 

|  № | Лексема | Строка | Индекс в ТИ |
|121 |    ,    |    28   |             |
|122 |    l    |    28   |      20     |
|123 |    ,    |    28   |             |
|124 |    i    |    28   |      18     |
|125 |    )    |    28   |             |
|126 |    ;    |    28   |             |
|127 |    ]    |    29   |             |

-------------- ТАБЛИЦА ЛЕКСЕМ  -------------------- Дата: 17.12.2017 15:42:11 ------------ 

|  № | Лексема | Строка  | Индекс в ТИ |
|  0 |    t    |     1   |             |
|  1 |    f    |     1   |             |
|  2 |    i    |     1   |       0     |
|  3 |    (    |     1   |             |
|  4 |    [    |     1   |             |
|  5 |    ]    |     2   |             |
|  6 |    m    |     3   |             |
|  7 |    [    |     3   |             |
|  8 |    ]    |     5   |             |

-------------- ТАБЛИЦА ЛЕКСЕМ  -------------------- Дата: 17.12.2017 15:42:50 ------------ 

|  № | Лексема | Строка  | Индекс в ТИ |
|  0 |    t    |     1   |             |
|  1 |    f    |     1   |             |
|  2 |    i    |     1   |       0     |
|  3 |    (    |     1   |             |
|  4 |    )    |     1   |             |
|  5 |    [    |     1   |             |
|  6 |    n    |     2   |             |
|  7 |    t    |     2   |             |
|  8 |    i    |     2   |       1     |
|  9 |    ;    |     2   |             |
| 10 |    ]    |     3   |             |
| 11 |    m    |     4   |             |
| 12 |    [    |     4   |             |
| 13 |    ]    |     6   |             |

-------------- ТАБЛИЦА ЛЕКСЕМ  -------------------- Дата: 17.12.2017 15:43:54 ------------ 

|  № | Лексема | Строка  | Индекс в ТИ |
|  0 |    p    |     1   |             |
|  1 |    f    |     1   |             |
|  2 |    i    |     1   |       0     |
|  3 |    (    |     1   |             |
|  4 |    )    |     1   |             |
|  5 |    [    |     1   |             |
|  6 |    n    |     2   |             |
|  7 |    t    |     2   |             |
|  8 |    i    |     2   |       1     |
|  9 |    ;    |     2   |             |
| 10 |    ]    |     3   |             |
| 11 |    m    |     4   |             |
| 12 |    [    |     4   |             |
| 13 |    ]    |     6   |             |

-------------- ТАБЛИЦА ЛЕКСЕМ  -------------------- Дата: 17.12.2017 15:46:01 ------------ 

|  № | Лексема | Строка  | Индекс в ТИ |
|  0 |    p    |     1   |             |
|  1 |    f    |     1   |             |
|  2 |    i    |     1   |       0     |
|  3 |    (    |     1   |             |
|  4 |    t    |     1   |             |
|  5 |    t    |     1   |             |
|  6 |    )    |     1   |             |
|  7 |    [    |     1   |             |
|  8 |    ]    |     1   |             |
|  9 |    m    |     2   |             |
| 10 |    [    |     2   |             |
| 11 |    ]    |     2   |             |

